State,District,Block,Village,Observation_Well,Latitude,Longitude,Date,Month,Season,Rainfall_mm,Temperature_C,Humidity_pct,Solar_Radiation,Wind_Speed,Previous_Groundwater_Level,Groundwater_Level,Rainfall_Lag1,Level_Change,Is_Monsoon
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2018-01-01,1,Winter,7.99,22.78,68.35,21.08,1.6,8.12,8.0,27.32455439814815,-0.11999999999999922,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2018-02-01,2,Winter,10.32,28.27,77.13,15.82,2.42,8.0,8.04,7.99,0.03999999999999915,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2018-03-01,3,Summer,7.25,29.59,74.8,15.39,2.96,8.04,8.03,10.32,-0.009999999999999787,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2018-04-01,4,Summer,6.56,38.5,46.71,16.0,4.07,8.03,7.96,7.25,-0.0699999999999994,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2018-05-01,5,Summer,2.46,37.25,57.8,14.98,4.92,7.96,7.85,6.56,-0.11000000000000032,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2018-06-01,6,Monsoon,25.95,36.47,76.37,14.34,6.05,7.85,8.14,2.46,0.2900000000000009,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2018-07-01,7,Monsoon,34.6,28.87,95.0,15.85,6.35,8.14,8.46,25.95,0.3200000000000003,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2018-08-01,8,Monsoon,39.03,32.37,79.32,19.98,6.11,8.46,8.97,34.6,0.5099999999999998,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2018-09-01,9,Monsoon,27.14,27.27,52.89,16.71,5.64,8.97,9.26,39.03,0.28999999999999915,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2018-10-01,10,Post-Monsoon,48.43,30.26,46.0,15.41,5.51,9.26,9.92,27.14,0.6600000000000001,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2018-11-01,11,Post-Monsoon,69.61,31.63,71.99,21.29,5.36,9.92,10.9,48.43,0.9800000000000004,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2018-12-01,12,Winter,50.75,22.58,75.65,22.63,4.62,10.9,11.54,69.61,0.6399999999999988,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2019-01-01,1,Winter,2.64,23.55,79.16,20.38,5.94,11.54,11.44,50.75,-0.09999999999999964,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2019-02-01,2,Winter,3.2,31.28,54.22,21.61,4.31,11.44,11.28,2.64,-0.16000000000000014,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2019-03-01,3,Summer,6.94,30.14,60.22,15.08,1.66,11.28,11.21,3.2,-0.06999999999999851,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2019-04-01,4,Summer,5.14,36.56,64.27,23.08,2.75,11.21,11.16,6.94,-0.05000000000000071,0
